"Name","DisplayName","State","StartMode","StartName","PathName","ProcessId"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","0"
"BthAvctpSvc","AVCTP service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceRedirectionGuard -p","0"
"bthserv","Bluetooth Support Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"camsvc","Capability Access Manager Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k osprivacy -p","7436"
"CDPSvc","Connected Devices Platform Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","3932"
"CertPropSvc","Certificate Propagation","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","9008"
"clabpsvc","CLABP service","Stopped","Disabled","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\clabpsvc_x64.inf_amd64_a85e7c8fcd024a39\clabpsvc.exe","0"
"CLConfigService","Cirrus Logic Enhance Configuration Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\cl01002_apo.inf_amd64_e619acf00d98d76a\EnhanceCS.exe","4592"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Auto","LocalSystem","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","4780"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k wsappx -p","0"
"CLoggerSrv","Cirrus Logic Legacy Logging Service","Running","Auto","LocalSystem","C:\Windows\System32\CLoggerSrv.exe","5656"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k CloudIdServiceGroup -p","0"
"COMSysApp","COM+ System Application","Stopped","Manual","LocalSystem","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","0"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","2200"
"CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p","4628"
"CscService","Offline Files","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"CsGMMuteSrv","Cirrus Logic Global Mic Mute Service","Running","Auto","LocalSystem","C:\Windows\System32\CsGMMuteSrv.exe","5648"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","1580"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"defragsvc","Optimize drives","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k defragsvc","0"
"DellClientManagementService","Dell Client Management Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe""","15940"
"DellTechHub","Dell TechHub","Running","Auto","LocalSystem","""C:\Program Files\Dell\TechHub\Dell.TechHub.exe""","4672"
"DeviceAssociationService","Device Association Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","4664"
"DeviceInstall","Device Install Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","0"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","2352"
"diagsvc","Diagnostic Execution Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k diagnostics","0"
"DiagTrack","Connected User Experiences and Telemetry","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k utcsvc -p","4720"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k DialogBlockingService","0"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","3708"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","2372"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p","2724"
"DoSvc","Delivery Optimization","Running","Manual","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","9276"
"dot3svc","Wired AutoConfig","Running","Auto","localSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","3156"
"DPMService","Dell Peripheral Manager Service","Running","Auto","LocalSystem","""C:\Program Files\Dell\Dell Peripheral Manager\DPMService.exe""","4640"
"DPS","Diagnostic Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","4656"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Running","Auto","NT Authority\LocalService","C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_e5ce4162c0997999\ipfsvc.exe","4704"
"DsmSvc","Device Setup Manager","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"DsSvc","Data Sharing Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","10616"
"DusmSvc","Data Usage","Running","Auto","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc","3964"
"DW5934e_SIMSVC","DW5934e_SIMSVC","Running","Auto","LocalSystem","C:\Program Files (x86)\DW5934e Snapdragon X72 5G\Utilities\SIM based Firmware Switching Tool\SIMService.exe","4688"
"EapHost","Extensible Authentication Protocol","Running","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","4008"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc","0"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc","0"
"EFS","Encrypting File System (EFS)","Stopped","Manual","LocalSystem","C:\Windows\System32\lsass.exe","0"
"embeddedmode","Embedded Mode","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k appmodelRedirectionGuard -p","0"
"EPWD","Check Point Endpoint Client Watchdog","Running","Auto","LocalSystem","""C:\Program Files (x86)\CheckPoint\Endpoint Connect\Watchdog\EPWD.exe""","4680"
"EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","3452"
"EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceRedirectionGuard -p","3548"
"fdPHost","Function Discovery Provider Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","0"
"fhsvc","File History Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"FileSyncHelper","FileSyncHelper","Running","Manual","LocalSystem","""C:\Program Files\Microsoft OneDrive\26.139.0720.0007\FileSyncHelper.exe""","17536"
"FlexeraDockerMon","Flexera Inventory Docker Monitor","Running","Auto","LocalSystem","""C:\Program Files (x86)\ManageSoft\Container\fnms-docker-monitor.exe""","4728"
"FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","3872"
"FrameServer","Windows Camera Frame Server","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k Camera","16900"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k CameraMonitor","0"
"GameInputSvc","GameInput Service","Stopped","Manual","LocalSystem","C:\Windows\System32\GameInputSvc.exe","0"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual","LocalSystem","""C:\Program Files\Google\Chrome\Application\151.0.7922.138\elevation_service.exe""","0"
"GoogleUpdaterInternalService152.0.7933.0","Google Updater Internal Service (GoogleUpdaterInternalService152.0.7933.0)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Google\GoogleUpdater\152.0.7933.0\updater.exe"" --system --windows-service --service=update-internal","0"
"GoogleUpdaterService152.0.7933.0","Google Updater Service (GoogleUpdaterService152.0.7933.0)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Google\GoogleUpdater\152.0.7933.0\updater.exe"" --system --windows-service --service=update","0"
"gpsvc","Group Policy Client","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k GPSvcGroup","4920"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup","0"
"hidserv","Human Interface Device Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","2424"
"hpatchmon","Hotpatch Monitoring Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","4744"
"HvHost","HV Host Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","1156"
"icssvc","Windows Mobile Hotspot Service","Stopped","Disabled","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"IgoAudioService","intelliGo Audio Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_f4165b132d250bca\IgoAudioService_x64.exe","4696"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"InstallService","Microsoft Store Install Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","26204"
"IntelAudioService","Intel(R) Audio Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\intcoed.inf_amd64_9c2507cd1e59b188\AS\IAS\IntelAudioService.exe","4712"
"IntelDisplayUMService","Intel(R) Graphics Display Service","Stopped","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_890a08c3df64cf6a\IntelDisplayUMService.exe","0"
"IntelGraphicsSoftwareService","Intel® Graphics Software","Running","Auto","LocalSystem","""C:\Program Files\WindowsApps\AppUp.IntelArcSoftware_26.26.2459.0_x64__8j3eq9eme6ctt\VFS\ProgramFilesX64\Intel\Intel Graphics Software\IntelGraphicsSoftware.Service.exe""","7644"
"IntuneManagementExtension","Microsoft Intune Management Extension","Running","Auto","LocalSystem","""C:\Program Files (x86)\Microsoft Intune Management Extension\Microsoft.Management.Services.IntuneWindowsAgent.exe""","18156"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k InvSvcGroup -p","22192"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_67eebeb56ed505a2\ipf_uf.exe","4836"
"iphlpsvc","IP Helper","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k NetSvcs -p","4792"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"IsoEnvBroker","Isolation Environment Broker","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k IsoEnvBroker -p","0"
"KeyIso","CNG Key Isolation","Running","Manual","LocalSystem","C:\Windows\system32\lsass.exe","1428"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p","0"
"LanmanServer","Server","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","5704"
"LanmanWorkstation","Workstation","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","4412"
"lfsvc","Geolocation Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcsRedirectionGuard -p","8468"
"LicenseManager","Windows License Manager Service","Running","Manual","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p","23580"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p","0"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","30020"
"LocalKdc","Kerberos Local Key Distribution Center","Stopped","Manual","LocalSystem","C:\Windows\System32\lsass.exe","0"
"LSM","Local Session Manager","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","1852"
"LxpSvc","Language Experience Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","0"
"Maestro","Printer Maestro","Running","Auto","LocalSystem","""C:\Program Files\Seagull\BarTender 11.5\Maestro.Service.exe""","9736"
"MapsBroker","Downloaded Maps Manager","Stopped","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","0"
"McmSvc","Mobile Connectivity Management Service","Stopped","Manual","NT SERVICE\McmSvc","C:\Windows\system32\svchost.exe -k McmSvc -p -s McmSvc","0"
"McpManagementService","McpManagementService","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup","0"
"MDCoreSvc","Microsoft Defender Core Service","Running","Auto","LocalSystem","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MpDefenderCoreService.exe""","4864"
"MDDlpSvc","Microsoft Purview Data Loss Prevention Service","Running","Auto","LocalSystem","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MpDlpService.exe""","4856"
"mgssecsvc","Flexera Inventory Manager security service","Running","Auto","LocalSystem","""C:\Program Files (x86)\ManageSoft\Security Agent\mgssecsvc.exe""","4752"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft\Edge\Application\151.0.4129.93\elevation_service.exe""","0"
"midisrv","Windows MIDI Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\midisrv.exe","0"
"mpssvc","Windows Defender Firewall","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","4320"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\msdtc.exe","0"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"msiserver","Windows Installer","Stopped","Manual","LocalSystem","C:\Windows\system32\msiexec.exe /V","0"
"MsKeyboardFilter","Microsoft Keyboard Filter","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"MSMQ","Message Queuing","Running","Auto","NT Authority\NetworkService","C:\Windows\system32\mqsvc.exe","5264"
"MSSQL$BARTENDER","SQL Server (BARTENDER)","Running","Auto","LocalSystem","""C:\Program Files\Microsoft SQL Server\MSSQL15.BARTENDER\MSSQL\Binn\sqlservr.exe"" -sBARTENDER","4828"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k NetSvcs -p","0"
"NcbService","Network Connection Broker","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","2208"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","0"
"ndinit","Flexera Inventory Manager managed device v24.00.1511","Running","Auto","LocalSystem","""C:\Program Files (x86)\ManageSoft\Schedule Agent\ndinit.exe""","4848"
"Netlogon","Netlogon","Stopped","Manual","LocalSystem","C:\Windows\system32\lsass.exe","0"
"Netman","Network Connections","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"netprofm","Network List Service","Running","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k netprofm -p","2452"
"NetSetupSvc","Network Setup Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","25268"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","4764"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","6176"
"NgcSvc","Microsoft Passport","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","12308"
"NlaSvc","Network Location Awareness","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k netprofm -p","0"
"nsi","Network Store Interface Service","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","2192"
"OffloadItemService","Intel(R) ISH Offload Item Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\DriverStore\FileRepository\ishheci.inf_amd64_65dcfb86d1d36ecc\OffloadItemService.exe","2992"
"OneDrive Updater Service","OneDrive Updater Service","Stopped","Manual","LocalSystem","""C:\Program Files\Microsoft OneDrive\26.139.0720.0007\OneDriveUpdaterService.exe""","0"
"PcaSvc","Program Compatibility Assistant Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","14852"
"PeerDistSvc","BranchCache","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k PeerDist","0"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","LocalSystem","C:\Windows\system32\PerceptionSimulation\PerceptionSimulationService.exe","0"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\SysWow64\perfhost.exe","0"
"PhoneSvc","Phone Service","Running","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","5408"
"pla","Performance Logs & Alerts","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","0"
"PlugPlay","Plug and Play","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","1580"
"PolicyAgent","IPsec Policy Agent","Running","Manual","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p","8288"
"Power","Power","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","1580"
"PrintDeviceConfigurationService","Print Device Configuration Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k print","0"
"PrintScanBrokerService","PrintScanBrokerService","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k PrintScanBrokerService -p","0"
"ProfSvc","User Profile Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k UserProfileService -p","2604"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","0"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"RasMan","Remote Access Connection Manager","Running","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs","25692"
"refsdedupsvc","ReFS Dedup Service","Stopped","Manual","LocalSystem","C:\Windows\System32\ReFsDedupSvc.exe","0"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","localSystem","C:\Windows\System32\svchost.exe -k netsvcs","0"
"RemoteRegistry","Remote Registry","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k localService -p","0"
"RetailDemo","Retail Demo Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k rdxgroup","0"
"RmSvc","Radio Management Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","7216"
"RpcEptMapper","RPC Endpoint Mapper","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k RPCSS -p","1768"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Disabled","NT AUTHORITY\NetworkService","C:\Windows\system32\locator.exe","0"
"RpcSs","Remote Procedure Call (RPC)","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k rpcss -p","1768"
"RstMwService","Intel(R) Storage Middleware Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\iastorvd.inf_amd64_dca58e6fa5e6b1d9\RstMwService.exe","4892"
"SamSs","Security Accounts Manager","Running","Auto","LocalSystem","C:\Windows\system32\lsass.exe","1428"
"SCardSvr","Smart Card","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","8700"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","0"
"Schedule","Task Scheduler","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","2336"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","0"
"SDRSVC","Windows Backup","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k SDRSVC","0"
"seclogon","Secondary Logon","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","2552"
"SecurityHealthService","Windows Security Service","Running","Manual","LocalSystem","C:\Windows\system32\SecurityHealthService.exe","18884"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"SENS","System Event Notification Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcsRedirectionGuard -p","3732"
"Sense","Windows Defender Advanced Threat Protection Service","Running","Auto","LocalSystem","""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe""","4940"
"SensorDataService","Sensor Data Service","Stopped","Manual","LocalSystem","C:\Windows\System32\SensorDataService.exe","0"
"SensorService","Sensor Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
