"Name","Version","Vendor","InstallDate"
"Microsoft ASP.NET Core 8.0.30 Hosting Bundle Options","8.0.30.26373","Microsoft Corporation","20260819"
"Microsoft .NET Host - 8.0.30 (x86)","64.120.56788","Microsoft Corporation","20260819"
"Check Point VPN","98.61.5609","Check Point Software Technologies Ltd.","20260523"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","20260611"
"Python 3.13.15 Core Interpreter (64-bit)","3.13.15150.0","Python Software Foundation","20260807"
"SQL Server 2019 Shared Management Objects","15.0.2000.5","Microsoft Corporation","20260528"
"Microsoft SQL Server 2014 Express LocalDB ","12.3.6024.0","Microsoft Corporation","20260528"
"Python Launcher","3.13.15150.0","Python Software Foundation","20260807"
,,,
"Dell Command | Update for Windows Universal","5.7.1","Dell Inc.","20260811"
"SQL Server 2019 Common Files","15.0.2000.5","Microsoft Corporation","20260528"
"SQL Server 2019 Shared Management Objects Extensions","15.0.2000.5","Microsoft Corporation","20260528"
"Microsoft ASP.NET Core 8.0.30 Shared Framework (x64)","8.0.30.26373","Microsoft Corporation","20260819"
"Python 3.13.15 Documentation (64-bit)","3.13.15150.0","Python Software Foundation","20260807"
"SQL Server 2019 Batch Parser","15.0.2000.5","Microsoft Corporation","20260528"
"SQL Server 2019 Shared Management Objects","15.0.2000.5","Microsoft Corporation","20260528"
"Python 3.13.15 pip Bootstrap (64-bit)","3.13.15150.0","Python Software Foundation","20260807"
"SQL Server 2019 Database Engine Services","15.0.2000.5","Microsoft Corporation","20260528"
"Microsoft .NET Runtime - 8.0.30 (x64)","64.120.56788","Microsoft Corporation","20260819"
"SQL Server 2019 Database Engine Shared","15.0.2000.5","Microsoft Corporation","20260528"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","20260529"
"Python 3.13.15 Tcl/Tk Support (64-bit)","3.13.15150.0","Python Software Foundation","20260807"
"SQL Server 2019 Common Files","15.0.2000.5","Microsoft Corporation","20260721"
"Microsoft SQL Server 2019 Setup (English)","15.0.4013.40","Microsoft Corporation","20260528"
"SQL Server 2019 XEvent","15.0.2000.5","Microsoft Corporation","20260721"
"FlexNet Inventory Agent","24.00.1511","Flexera Software LLC","20260522"
"Spektion Sensor","3.0.8","Spektion","20260729"
"SQL Server 2019 Database Engine Services","15.0.2000.5","Microsoft Corporation","20260721"
"Python 3.13.15 Standard Library (64-bit)","3.13.15150.0","Python Software Foundation","20260807"
"Microsoft Windows Desktop Runtime - 10.0.11 (x64)","80.44.56884","Microsoft Corporation","20260819"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","20260611"
